Accession,Release_Date,Species,Length,Nuc_Completeness,Genotype,Genome_Region,Segment,Geo_Location,Host,Isolation_Source,Collection_Date
YP_009725303,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,83,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725297,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,180,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725255,2020-01-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724394,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724392,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724389,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724391,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724397,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724395,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724396,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724393,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009724390,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,RefSeq,,,,China,Homo sapiens,,2019-12
QIS60902,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60903,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60904,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60905,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60906,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60907,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60908,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60909,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60910,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60911,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60912,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60913,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60914,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60915,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60916,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60917,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60918,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60919,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60920,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60921,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60922,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60923,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60924,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60925,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60926,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60927,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60928,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60929,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60930,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60931,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60932,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60933,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60934,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60935,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60936,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60937,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60938,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60939,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-21
QIS60940,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60941,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60942,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60943,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60944,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60945,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60946,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60947,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60948,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60949,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60950,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60951,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60952,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60953,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60954,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60955,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60956,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60957,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60958,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60959,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60960,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60961,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60962,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60963,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60964,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60965,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60966,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60967,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60968,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60969,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60970,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60971,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60972,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60973,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60974,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60975,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60986,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60987,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60976,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60977,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60978,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60979,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60980,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60981,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60982,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60983,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60984,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60985,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-20
QIS60988,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60989,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60990,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60991,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60992,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60993,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60994,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60995,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60996,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60997,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60998,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS60999,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61000,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61001,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61002,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61003,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61004,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61005,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61006,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61007,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61008,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61009,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61010,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61011,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61012,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61013,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61014,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61015,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61016,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61017,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61018,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61019,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61020,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61021,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61022,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61023,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-23
QIS61024,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7093,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61025,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4402,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61026,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61027,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61028,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61029,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61030,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61031,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61032,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61033,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61034,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61035,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61036,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61037,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61038,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61039,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61040,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61041,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61042,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61043,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61044,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61045,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61046,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61047,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61048,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61049,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61050,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61051,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61052,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61053,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61054,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61055,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61056,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61057,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61058,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,419,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61059,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,38,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61060,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61061,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,275,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61062,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61063,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61064,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61065,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61066,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,GenBank,,,,USA,Homo sapiens,,2020-03-24
QIS61067,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,121,GenBank,,,,USA,Homo sapiens,,2020-03-24
